GEO_ID,NAME,B01003_001E,B01003_001M,Unnamed: 4
Geography,Geographic Area Name,Estimate!!Total,Margin of Error!!Total,
1400000US06001400100,Census Tract 4001; Alameda County; California,3094,452,
1400000US06001405302,Census Tract 4053.02; Alameda County; California,2560,301,
1400000US06001405401,Census Tract 4054.01; Alameda County; California,3733,519,
1400000US06001405402,Census Tract 4054.02; Alameda County; California,3325,604,
1400000US06001405500,Census Tract 4055; Alameda County; California,3574,508,
1400000US06001405600,Census Tract 4056; Alameda County; California,3153,448,
1400000US06001405700,Census Tract 4057; Alameda County; California,3553,603,
1400000US06001405800,Census Tract 4058; Alameda County; California,4329,635,
1400000US06001405901,Census Tract 4059.01; Alameda County; California,4206,672,
1400000US06001405902,Census Tract 4059.02; Alameda County; California,2994,438,
1400000US06001406000,Census Tract 4060; Alameda County; California,4638,658,
1400000US06001406100,Census Tract 4061; Alameda County; California,5379,848,
1400000US06001406201,Census Tract 4062.01; Alameda County; California,5191,714,
1400000US06001406202,Census Tract 4062.02; Alameda County; California,4958,715,
1400000US06001406300,Census Tract 4063; Alameda County; California,4529,667,
1400000US06001406400,Census Tract 4064; Alameda County; California,2456,606,
1400000US06001406500,Census Tract 4065; Alameda County; California,6405,819,
1400000US06001406601,Census Tract 4066.01; Alameda County; California,4476,611,
1400000US06001406602,Census Tract 4066.02; Alameda County; California,2638,442,
1400000US06001406700,Census Tract 4067; Alameda County; California,5718,727,
1400000US06001406800,Census Tract 4068; Alameda County; California,3905,461,
1400000US06001406900,Census Tract 4069; Alameda County; California,4535,811,
1400000US06001407000,Census Tract 4070; Alameda County; California,6315,1171,
1400000US06001407101,Census Tract 4071.01; Alameda County; California,3547,754,
1400000US06001407102,Census Tract 4071.02; Alameda County; California,4464,913,
1400000US06001407200,Census Tract 4072; Alameda County; California,6483,843,
1400000US06001407300,Census Tract 4073; Alameda County; California,2401,450,
1400000US06001407400,Census Tract 4074; Alameda County; California,4268,667,
1400000US06001407500,Census Tract 4075; Alameda County; California,3687,688,
1400000US06001407600,Census Tract 4076; Alameda County; California,6793,913,
1400000US06001407700,Census Tract 4077; Alameda County; California,4261,482,
1400000US06001407800,Census Tract 4078; Alameda County; California,2710,323,
1400000US06001407900,Census Tract 4079; Alameda County; California,3101,400,
1400000US06001408000,Census Tract 4080; Alameda County; California,2767,392,
1400000US06001408100,Census Tract 4081; Alameda County; California,7552,765,
1400000US06001408200,Census Tract 4082; Alameda County; California,4743,736,
1400000US06001408300,Census Tract 4083; Alameda County; California,4555,552,
1400000US06001408400,Census Tract 4084; Alameda County; California,4098,637,
1400000US06001408500,Census Tract 4085; Alameda County; California,5540,867,
1400000US06001408600,Census Tract 4086; Alameda County; California,6364,888,
1400000US06001408700,Census Tract 4087; Alameda County; California,7411,1192,
1400000US06001408800,Census Tract 4088; Alameda County; California,7045,1013,
1400000US06001408900,Census Tract 4089; Alameda County; California,4240,617,
1400000US06001409000,Census Tract 4090; Alameda County; California,4914,1197,
1400000US06001409100,Census Tract 4091; Alameda County; California,2388,363,
